岩手県,0.2727272727272727,平成25年度岩手県一般会計補正予算（第４号）,平成24年度岩手県一般会計補正予算（第２号）,議案第２号　平成24年度岩手県一般会計補正予算（第２号）
岩手県,0.2,平成25年度岩手県中小企業振興資金特別会計補正予算（第２号）,平成24年度岩手県中小企業振興資金特別会計補正予算（第１号）,議案第３号　平成24年度岩手県中小企業振興資金特別会計補正予算（第１号）
岩手県,0.0,岩手県県税条例の一部を改正する条例の専決処分に関し承認を求めることについて,岩手県県税条例の一部を改正する条例の専決処分に関し承認を求めることについて,議案第４号　岩手県県税条例の一部を改正する条例の専決処分に関し承認を求めることについて
岩手県,0.0,岩手県の事務を市町村が処理することとする事務処理の特例に関する条例の一部を改正する条例,岩手県の事務を市町村が処理することとする事務処理の特例に関する条例の一部を改正する条例,議案第５号　岩手県の事務を市町村が処理することとする事務処理の特例に関する条例の一部を改正する条例
岩手県,0.8823529411764706,県営住宅等条例の一部を改正する条例,岩手県県税条例の一部を改正する条例,議案第６号　岩手県県税条例の一部を改正する条例
岩手県,0.5882352941176471,岩手県県税条例の一部を改正する条例,岩手県手数料条例の一部を改正する条例,議案第９号　岩手県手数料条例の一部を改正する条例
岩手県,0.8571428571428571,岩手県港湾施設管理条例の一部を改正する条例,岩手県環境影響評価条例の一部を改正する条例,議案第10号　岩手県環境影響評価条例の一部を改正する条例
岩手県,0.0,岩手県信用保証協会に対する損失補償に係る回収納付金を受け取る権利の放棄に関する条例の一部を改正する条例,岩手県信用保証協会に対する損失補償に係る回収納付金を受け取る権利の放棄に関する条例の一部を改正する条例,議案第11号　岩手県信用保証協会に対する損失補償に係る回収納付金を受け取る権利の放棄に関する条例の一部を改正する条例
岩手県,0.0,電気事業及び工業用水道事業の設置等に関する条例の一部を改正する条例,電気事業及び工業用水道事業の設置等に関する条例の一部を改正する条例,議案第12号　電気事業及び工業用水道事業の設置等に関する条例の一部を改正する条例
岩手県,0.6923076923076923,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,船越漁港災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第13号　船越漁港災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.7435897435897436,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,愛の浜海岸災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第15号　愛の浜海岸災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.7948717948717948,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,釜石港須賀地区港湾災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第16号　釜石港須賀地区港湾災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.0,損害賠償請求事件に係る和解及びこれに伴う損害賠償の額を定めることに関し議決を求めることについて,損害賠償請求事件に係る和解及びこれに伴う損害賠償の額を定めることに関し議決を求めることについて,議案第17号　損害賠償請求事件に係る和解及びこれに伴う損害賠償の額を定めることに関し議決を求めることについて
岩手県,0.0,岩手県の事務を市町村が処理することとする事務処理の特例に関する条例の一部を改正する条例,岩手県の事務を市町村が処理することとする事務処理の特例に関する条例の一部を改正する条例,　議案第５号　岩手県の事務を市町村が処理することとする事務処理の特例に関する条例の一部を改正する条例
岩手県,0.7692307692307693,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,山田漁港災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第23号　山田漁港災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.7692307692307693,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,茂師漁港災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第24号　茂師漁港災害復旧工事の請負契約の締結に関し議決を求めることについて
岩手県,0.7948717948717948,大船渡漁港海岸防潮堤災害復旧工事の請負契約の締結に関し議決を求めることについて,白浜（鵜住居）漁港災害復旧工事の請負契約の締結に関し議決を求めることについて,議案第25号　白浜（鵜住居）漁港災害復旧工事の請負契約の締結に関し議決を求めることについて
